freq,psd_x,psd_y,psd_z,psd_xyz
158.3,1.246e+04,1.674e+04,2.602e+04,5.521e+04
159.8,1.165e+04,1.586e+04,2.225e+04,4.975e+04
161.2,1.238e+04,1.579e+04,2.212e+04,5.029e+04
162.7,1.371e+04,1.501e+04,2.240e+04,5.112e+04
164.2,1.561e+04,1.481e+04,2.387e+04,5.429e+04
165.6,1.982e+04,1.476e+04,2.977e+04,6.435e+04
167.1,2.455e+04,1.449e+04,3.631e+04,7.536e+04
168.6,2.971e+04,1.608e+04,4.562e+04,9.141e+04
170.0,3.576e+04,1.774e+04,5.332e+04,1.068e+05
171.5,3.888e+04,1.870e+04,5.543e+04,1.130e+05
173.0,3.992e+04,1.933e+04,5.638e+04,1.156e+05
174.4,3.838e+04,1.806e+04,5.223e+04,1.087e+05
175.9,3.576e+04,1.680e+04,4.651e+04,9.907e+04
177.4,3.419e+04,1.639e+04,4.318e+04,9.376e+04
178.8,3.447e+04,1.594e+04,4.091e+04,9.132e+04
180.3,3.375e+04,1.537e+04,3.959e+04,8.872e+04
181.8,3.340e+04,1.477e+04,3.762e+04,8.579e+04
183.2,3.232e+04,1.388e+04,3.516e+04,8.137e+04
184.7,3.112e+04,1.321e+04,3.182e+04,7.615e+04
186.2,2.931e+04,1.222e+04,2.840e+04,6.993e+04
187.6,2.825e+04,1.154e+04,2.633e+04,6.611e+04
189.1,2.623e+04,1.091e+04,2.358e+04,6.072e+04
190.6,2.461e+04,1.009e+04,2.108e+04,5.578e+04
192.0,2.321e+04,9.426e+03,1.894e+04,5.157e+04
193.5,2.276e+04,9.440e+03,1.778e+04,4.998e+04
195.0,2.327e+04,9.738e+03,1.749e+04,5.050e+04
196.4,2.207e+04,9.284e+03,1.605e+04,4.740e+04
197.9,2.024e+04,8.548e+03,1.448e+04,4.328e+04
199.4,1.886e+04,8.136e+03,1.316e+04,4.016e+04
