freq,psd_x,psd_y,psd_z,psd_xyz
132.0,3.070e+03,1.031e+04,5.427e+03,1.881e+04
133.5,2.454e+03,8.463e+03,2.886e+03,1.380e+04
134.9,2.056e+03,7.199e+03,1.749e+03,1.100e+04
136.4,2.154e+03,7.340e+03,2.133e+03,1.163e+04
137.8,1.916e+03,6.956e+03,2.308e+03,1.118e+04
139.3,1.669e+03,6.231e+03,2.512e+03,1.041e+04
140.8,1.316e+03,5.205e+03,2.477e+03,8.998e+03
142.2,1.140e+03,5.126e+03,2.709e+03,8.975e+03
143.7,1.109e+03,5.071e+03,3.101e+03,9.281e+03
145.2,1.041e+03,5.033e+03,3.726e+03,9.800e+03
146.6,1.027e+03,4.815e+03,4.282e+03,1.012e+04
148.1,1.123e+03,4.795e+03,4.861e+03,1.078e+04
149.6,1.139e+03,4.575e+03,5.323e+03,1.104e+04
151.0,1.326e+03,4.349e+03,5.810e+03,1.149e+04
152.5,1.541e+03,4.099e+03,6.465e+03,1.210e+04
154.0,1.805e+03,3.924e+03,7.268e+03,1.300e+04
155.4,2.213e+03,3.995e+03,8.269e+03,1.448e+04
156.9,2.667e+03,4.097e+03,9.016e+03,1.578e+04
158.4,3.350e+03,4.209e+03,9.469e+03,1.703e+04
159.8,4.218e+03,3.950e+03,1.073e+04,1.890e+04
161.3,4.712e+03,4.278e+03,1.201e+04,2.100e+04
162.8,5.471e+03,5.344e+03,1.349e+04,2.430e+04
164.2,6.006e+03,5.121e+03,1.361e+04,2.474e+04
165.7,5.563e+03,3.837e+03,1.249e+04,2.189e+04
167.2,5.580e+03,3.754e+03,1.215e+04,2.148e+04
168.6,5.564e+03,3.748e+03,1.186e+04,2.117e+04
170.1,5.874e+03,3.979e+03,1.139e+04,2.124e+04
171.6,5.758e+03,3.984e+03,1.086e+04,2.060e+04
173.0,5.850e+03,3.814e+03,1.040e+04,2.006e+04
174.5,6.172e+03,3.886e+03,1.016e+04,2.022e+04
176.0,6.556e+03,4.210e+03,1.023e+04,2.100e+04
177.4,6.411e+03,4.153e+03,9.718e+03,2.028e+04
178.9,6.600e+03,3.790e+03,8.982e+03,1.937e+04
180.4,6.524e+03,3.593e+03,8.587e+03,1.870e+04
181.8,6.107e+03,3.540e+03,8.263e+03,1.791e+04
183.3,5.963e+03,3.622e+03,7.976e+03,1.756e+04
184.8,6.062e+03,3.345e+03,7.496e+03,1.690e+04
186.2,5.836e+03,2.997e+03,6.952e+03,1.579e+04
187.7,5.853e+03,2.961e+03,6.625e+03,1.544e+04
189.2,5.607e+03,2.749e+03,6.079e+03,1.444e+04
190.6,5.340e+03,2.380e+03,5.401e+03,1.312e+04
192.1,5.436e+03,2.458e+03,5.097e+03,1.299e+04
193.6,5.457e+03,2.641e+03,4.824e+03,1.292e+04
195.0,5.592e+03,2.444e+03,4.341e+03,1.238e+04
196.5,5.779e+03,2.412e+03,4.073e+03,1.226e+04
198.0,5.928e+03,2.494e+03,4.011e+03,1.243e+04
199.4,5.616e+03,2.446e+03,3.647e+03,1.171e+04
